verdict,claim,date,source,reviewer,language,raw_verdict,raw_verdict_en
misinformation,烏來區各部落最快明天開始封路...外來遊客一律禁止進入,2021-05-19T00:00:00Z,Facebook user; LINE user,tfc-taiwan.org.tw,zh,錯誤,error
misinformation,A vacina contra a covid-19 gera atração magnética no local da injeção,2021-05-15T00:00:00Z,Várias fontes,checamos.afp.com,pt,Falso,Fake
misinformation,Nagranie z Indii gdzie Hindusi przegnali zespół szczepiący przeciwko Covid-19,2021-04-28T00:00:00Z,,sprawdzam.afp.com,pl,fałsz,falsehood
factual,"Nagranie przedstawia dzieci i dorosłych w Indiach, którzy bez użycia środków ochronnych pakują zestawy do testów RT-PCR.",2021-05-05T00:00:00Z,Różne wpisy w mediach społecznościowych,fakenews.pl,pl,W większości prawda,Mostly true
misinformation,"Das Thema ist seit mehr als zehn Jahren Geschichte - und doch behaupten einige Portale im Netz noch immer, geleakte E-Mails hätten im Umfeld der Klimaforschung Beweise für ""wissenschaftliche Korruption"" geliefert. ""Der Klima-Betrug geht unvermindert weiter"", heißt es zum Beispiel auf der Internetseite ""EIKE"". Die Mails waren im Jahr 2009 von einem Server einer britischen Universität gestohlen worden.",2020-02-07T00:00:00Z,Michael Klein,presseportal.de,de,Es gab keinen Korruptionsskandal. Mehrere unabhängige Untersuchungskommissionen haben die Vorwürfe gegen die damals vom Datenklau betroffenen Wissenschaftler schon vor Jahren entkräftet.,There was no corruption scandal. Several independent investigative commissions refuted the allegations against the scientists affected by the data theft years ago.
misinformation,"""A vacina de RNA da Moderna contém luciferina dissolvida em 66,6 ml de fosfato. Isto é real? Preciso de pesquisar isto. É muito macabro para ser real""",2020-12-15T03:14:39Z,Utilizador de Facebook,observador.pt,pt,Errado,Wrong
misinformation,Fotoğrafın Diyarbakır'daki askeri üsse saldırı girişiminden olduğu iddiası,2021-05-19T00:00:00Z,Memurlar,teyit.org,tr,Yanlış,False
misinformation,Vakcíny nie sú ani bezpečné ani účinné,2021-04-30T00:00:00Z,Hlavný Denník,fakty.afp.com,sk,Nepravda,It's not true
misinformation,"“Ожидается, что в течение следующего десятилетия мировое потребление природного газа увеличится на 15% к уровню 2019 года и составит более 4,5 трлн кубометров к 2030 году”",2021-03-01T00:00:00Z,Александр Новак,factograph.info,ru,НЕ ФАКТ,NOT A FACT
misinformation,גברים מוסלמים מתפללים על הגגות ולא שומרים על ריחוק חברתי בזמן משבר הקורונה,2020-04-14T00:00:00Z,פוסט/ים בפייסבוק,thewhistle.globes.co.il,iw,לא נכון,Not true
misinformation,14 osób zmarło po szczepieniu preparatem Johnson&Johnson w Sieradzu,2021-05-10T00:00:00Z,,sprawdzam.afp.com,pl,Fałsz,Falsehood
misinformation,Lav Agarwal claimed that only 2% of the Indian population has been infected by Covid-19 in the past 1 year 4 months,2021-05-20T14:37:33Z,"Lav Agarwal, Joint Secretary, MOHFW",factchecker.in,en,Misleading,Misleading
misinformation,Prince Philip and Queen Elizabeth II bow before Ethiopian royals,2021-04-12T00:00:00Z,Third party Memes,observers.rfi.fr,fa,False,False
misinformation,Minha amiga acaba de enterrar 3 filhos após tomarem a vacina da China. Confirmado em SP. Luto,2020-09-10T00:00:00Z,Flávia Mollokay / YouTube,oglobo.globo.com,pt,Fake,Fake
misinformation,"ประเทศจีนปฎิเสธใช้วัคซีนฉีดป้องกันโควิด 19 โดยหันไปใช้แบบ""รมควัน""สูดเข้าทางปอด",2021-05-02T00:00:00Z,Multiple Sources,factcheckthailand.afp.com,th,False,False
misinformation,أهرام الجيزة تضئ بعلم فلسطين,2021-05-16T00:00:00Z,منشورات فيسبوك,fatabyyano.net,ar,زائف,false
misinformation,Images de la fusée chinoise Long March 5B,2021-05-09T00:00:00Z,Pradeep Poonia,observers.rfi.fr,fa,False,False
misinformation,"Un député allemand souhaite qu'on retire et vaccine de force les enfants, dont les parents refusent la vaccination.",,,liberation.fr,fr,"Faux, la citation datant de 2019 est tronquée.","False, the quote from 2019 is truncated."
misinformation,Le décret n°21-70 a été publié le 16 mai 2021 annonçant la réouverture des frontières algériennes,2021-05-17T00:00:00Z,Publication virale sur les réseaux sociaux,20minutes.fr,fr,C’est plutôt faux,This is rather wrong
misinformation,"“In Reykjavik, for the first time after Joe Biden's seizure of the White House, an official face-to-face contact between the Russian Federation and the United States took place.”",2021-05-20T00:00:00Z,Yevgeny Popov,polygraph.info,en,False,False
misinformation,A Pfizer anuncia atualização de vacina covid-19 com chip da Microsoft para redução de sintomas,2021-04-15T00:00:00Z,Várias fontes,checamos.afp.com,pt,Falso,Fake
misinformation,Maior acordo da história pode render US$ 100 bi ao Brasil. Parabéns ao governo Bolsonaro por mais este importantíssimo acordo.,2021-05-09T00:00:00Z,Boatos de redes sociais,projetocomprova.com.br,pt,"ENGANOSO: Manchete utilizada é de junho de 2019, quando o acordo foi anunciado. Negociações para que o acordo entre em vigor estão estagnadas.","MISTAKE: Headline used is from June 2019, when the deal was announced. Negotiations for the agreement to take effect are stalled."
misinformation,"Mesmo enquanto não se falava em imunizantes, o governo federal já estava agindo de forma rápida e estávamos em contato com todos os fabricantes de vacinas em desenvolvimento no mundo",2021-05-19T00:00:00Z,Eduardo Pazuello,bol.uol.com.br,pt,Mentira,Lie
misinformation,"COVID-19 vaccine recipients will have “trackers” injected into them, causing them to become magnetic.",2021-05-10T00:00:00Z,An Instagram user,aap.com.au,en,False - Content that has no basis in fact.,False - Content that has no basis in fact.
other,Secondo un video diffuso online a fine agosto 2020 il Dott. Fauci avrebbe negato la trasmissione asintomatica del Sars-Cov-2.,2020-09-13T00:00:00Z,Viral video social,open.online,it,"Il video è di gennaio 2020, quando ancora non si conosceva molto del virus e della sua trasmissione, dimostrata poi nei mesi seguenti e riportata dallo stesso Fauci nei suoi successivi interventi.","The video is from January 2020, when not much was known about the virus and its transmission, which was then demonstrated in the following months and reported by Fauci himself in his subsequent interventions."
misinformation,Foto demo aksi solidaritas Palestina di Indonesia di bulan Mei 2021,2021-05-18T00:00:00Z,Berbagai sumber,periksafakta.afp.com,id,Salah,Wrong
misinformation,"""Google manipulated from 2.6 million to 16 million votes for Hillary Clinton in 2016 Election.""",2019-08-18T00:00:00Z,Donald J. Trump,nytimes.com,en,This lacks evidence.,This lacks evidence.
misinformation,אברי גלעד פרסם הודעת תמיכה בראש הממשלה נתניהו,2019-09-14T00:00:00Z,פוסט/ים בפייסבוק,thewhistle.globes.co.il,iw,לא נכון,Not true
misinformation,יאיר לפיד אמר שהוא עולה לרגל לבית שימוש ומשתטח על שירותים ציבוריים,2019-08-07T00:00:00Z,פוסטים בפייסבוק,thewhistle.globes.co.il,iw,מטעה,misleading
other,Das Klima hat einen Einfluss auf die Coronavirus-Ansteckungen,2020-03-29T00:00:00Z,Mehrere Urheber,watson.ch,de,"Dieser Punkt ist ungewiss. Es gab bislang verschiedene Untersuchungen dazu, die Ergebnisse deuteten aber immer wieder mal in die eine und dann wieder in die andere Richtung. Das Problem ist dabei, dass die Corona-Fallzahlen auf der ganzen Welt unzuverlässig sind. Es ist je nach Land unterschiedlich, wie viele Ansteckungen gemeldet und wer überhaupt getestet wird. Das macht eine Auswertung ungemein schwierig, wie Wissenschaftler von der Universität Oxford erklären. Fazit: Unbelegt.","This point is uncertain. So far there have been various studies on this, but the results point again and again in one direction and then in the other. The problem with this is that the corona case numbers around the world are unreliable. How many infections are reported and who is tested at all varies from country to country. This makes an evaluation extremely difficult, as scientists from the University of Oxford explain. Conclusion: not used."
misinformation,"""If we don’t pass the American Rescue Plan, 40 million Americans will lose nutritional assistance through a program we call SNAP, the old food stamp program.""",2021-02-19T00:00:00Z,Joe Biden,nytimes.com,en,This is exaggerated.,This is exaggerated.
misinformation,Video Kedatangan Tentara Indonesia di Palestina,,,cekfakta.com,id,Salah [False Context],False [False Context]
misinformation,La maison de Poutine à Sotchi,2021-04-04T00:00:00Z,HiraethResists,observers.rfi.fr,fa,False,False
misinformation,Πάνω από 4.000 θάνατοι εξαιτίας εμβολίων κατά της COVID-19 στις ΗΠΑ.,2021-05-07T00:00:00Z,Ελπιδοφόρος Σωτηριάδης,ellinikahoaxes.gr,el,Παραπληροφόρηση,Misinformation
misinformation,Aus Angst vor einem Luftangriff wird im Video eine inszenierte Trauerfeier abgebrochen.,2021-05-16T00:00:00Z,,dpa-factchecking.com,de,"Es gibt keine Hinweise, dass in dem Video ein Luftangriff bevorsteht. Es wurde in Jordanien aufgenommen, zu hören ist eine Polizeisirene. Laut einem Medienbericht versuchten Jugendliche mit einem inszenierten Begräbnis die Ausgangssperren zu übergehen.","There is no evidence in the video that an air strike is imminent. It was recorded in Jordan and a police siren can be heard. According to a media report, young people tried to bypass the curfew with a staged funeral."
misinformation,There is no shortage of medical oxygen in Uttar Pradesh hospitals.,2021-04-27T15:00:00Z,Uttar Pradesh Chief Minister Adityanath,scroll.in,en,Mostly false,Mostly false
misinformation,Infecção por Stafilococcus devido ao uso de máscaras. Entendam por que profissionais de saúde só usam máscaras descartáveis e as trocam de hora em hora,2020-08-13T00:00:00Z,Paula Felix / Post no Facebook,oglobo.globo.com,pt,Fake,Fake
misinformation,"More than 50,000 bridges were built during the administration of president Ferdinand Marcos.",,,rappler.com,en,False,False
misinformation,Alman kızlarının aşılı Türk erkeklerine ilgisi hakkındaki bir habere ait olduğu öne sürülen gazete kupürü,2021-05-14T00:00:00Z,Sosyal Medya,teyit.org,tr,Yanlış,False
misinformation,This baby was injured after Israel attacked Palestine with prohibited white phosphorus bombs.,2021-05-18T00:00:00Z,Social media users,indiatoday.in,en,Half true,Half true
misinformation,"Nach einer Corona-Impfung sei man nicht „immun“, müsse immer noch Maske tragen und die Hersteller der Impfstoffe würden bei Schäden nicht haften.",2021-04-25T00:00:00Z,Viraler Facebook-Beitrag,correctiv.org,de,"Teilweise falsch. Nach der Corona-Impfung gibt es zwar nach bisherigen Erkenntnissen keine „sterile Immunität“, aber sie schützt vor der Krankheit Covid-19. Eine Maske zu tragen ist in Deutschland auch für Geimpfte noch verpflichtend. Impfhersteller können für Schäden haften.","Partly wrong. According to previous knowledge, there is no “sterile immunity” after the corona vaccination, but it protects against the disease Covid-19. Wearing a mask is still compulsory for vaccinated people in Germany. Vaccine manufacturers can be held liable for damage."
misinformation,“Pope Francis kissing the hands of David Rockefeller & John Rothschild.”,2021-04-19T00:00:00Z,Viral image,politifact.com,en,False,False
misinformation,"Estate 2020, in una spiaggia a Chioggia cantano ""Faccetta nera"" con il braccio teso. Il video dei fascisti diventa virale.",2020-08-23T00:00:00Z,Viral video,open.online,it,"Il video non è del 2020, ma dell'agosto 2019. Un utente aveva condiviso il video nel 2020 facendo credere che fosse nuovo, ma in realtà è vecchio.","The video is not from 2020, but from August 2019. One user had shared the video in 2020 by making believe it was new, but it is actually old."
misinformation,Masjid 800 tahun muncul setelah badai pasir di Aljazair,2021-04-01T00:00:00Z,Berbagai sumber,periksafakta.afp.com,id,Salah,Wrong
misinformation,Video shows cyclone tauktae's effect in Somnath beach in Gujarat,2021-05-20T09:21:42Z,"Facebook,Twitter",thequint.com,en,False,False
misinformation,網傳「花蓮慈院中醫部何宗融副院長開的良方：防疫茶，麥門冬2錢，魚腥草2錢…」的訊息。,,LINE用戶,mygopen.com,zh,不實,false
misinformation,"Bill Gates, Melinda Gates, Anthony Fauci and the WHO are being charged with genocide",2020-05-24T00:00:00Z,Viral Image,thejournal.ie,en,False,False
misinformation,The video is of oxygen being wasted in Rajasthan.,2021-05-19T12:11:53Z,Social Media,thelogicalindian.com,en,False,False
misinformation,الحافلة التي استهدفتها كتائب القسام في زيكيم.,2021-05-21T09:12:00Z,يطا الكرامه,misbar.com,ar,مضلل,misleading
other,"Gesunde müssen erst krank werden, um Kaffee zu trinken.",2021-05-15T00:00:00Z,,dpa-factchecking.com,de,"Kaffee trinken ist in Deutschland grundsätzlich erlaubt - egal ob als Gesunder, Kranker oder Genesener. In geöffneten Cafés und Gaststätten ist es auch während der Corona-Pandemie möglich, einen Kaffee zu trinken - auch hier ohne Erkrankung und anschließende Genesung.","Drinking coffee is generally allowed in Germany - regardless of whether you are healthy, sick or convalescent. In open cafes and restaurants it is possible to drink a coffee even during the corona pandemic - here too without illness and subsequent recovery."
misinformation,Michael Jackson Was 'absolved' of Wade Robson Molestation Accusations,2021-04-27T16:55:42Z,Twitter users,newsweek.com,en,False,False
misinformation,OREMOS POR ISRAEL 🇮🇱,2021-05-17T19:21:17Z,Post no Facebook,piaui.folha.uol.com.br,pt,Falso,Fake
misinformation,La photo d'une fillette blessée prouve l'utilisation de bombes au phosphore blanc par Israël dans le conflit avec la Palestine,2021-05-18T00:00:00Z,Réseaux sociaux,20minutes.fr,fr,C’est faux,It's wrong
misinformation,الإمارات تُشرّع عملية الإجهاض.,2021-05-04T09:18:00Z,عبد السلام الحموي,misbar.com,ar,زائف,false
other,Die ARD manipuliert und lässt in Wahlumfrage das Ergebnis der Freien Wähler unter den Tisch fallen.,2021-05-07T00:00:00Z,,dpa-factchecking.com,de,"Kurzzeitig waren die Freien Wähler in der Online-Grafik des ARD-Deutschlandtrends tatsächlich nicht angezeigt, da nach Senderangaben zunächst nur Parteien ausgewiesen wurden, welche die Fünf-Prozent-Hürde übersprangen. Als jedoch der Artikel auf «reitschuster.de» publiziert und in sozialen Medien verbreitet wurde, waren die Freien Wähler längst in der ARD-Grafik zu sehen - auch in den «Tagesthemen».","For a short time, the free voters were actually not shown in the online graphic of the ARD Germany trend, because according to the broadcaster, initially only parties were shown that jumped the five percent hurdle. However, when the article was published on “reitschuster.de” and distributed in social media, the Free Voters had long been visible in the ARD graphics - also in the “Tagesthemen”."
misinformation,"""Enquanto por cá existe um silêncio ensurdecedor, lá fora é diferente""",2021-05-13T11:14:14Z,Utilizador de Facebook,observador.pt,pt,Errado,Wrong
misinformation,Croke Park will be used for animal slaughter during Eid Al Adha,2020-07-15T00:00:00Z,The Liberal,thejournal.ie,en,Nonsense,Nonsense
other,"Una foto apparsa su Twitter mostrerebbe gli effetti della ""variante subsahariana a Ceuta"", che provoca la morte di individui per strada",2021-05-19T00:00:00Z,,bufale.net,it,La foto in realtà ritrae un uomo morto a Wuhan (Cina) nel Gennaio del 2020,The photo actually portrays a man who died in Wuhan (China) in January 2020
misinformation,Video shows that U.S. President Joe Biden faked driving a Ford truck that was actually being controlled by a second steering wheel.,,,snopes.com,en,False,False
misinformation,Les revenus issus de la revente d'objets sur Internet sont imposables,2021-05-07T00:00:00Z,Publication virale,20minutes.fr,fr,C’est plutôt faux,This is rather wrong
misinformation,Shortage of COVID-19 ICU beds came from one or two private hospitals,2021-03-31T08:05:50Z,"Satyender Jain, Delhi Health Minister",factchecker.in,en,False,False
other,BOMBA: DOCUMENTOS MOSTRAM CORONAVÍRUS SENDO TESTADO COMO ARMA BIOLÓGICA 5 ANOS ANTES DA PANDEMIA POR CHINESES,2021-05-14T20:07:09Z,Terra Brasil Notícias,projetocomprova.com.br,pt,Relato de jornalista não sustenta a afirmação de que a China teria testado o coronavírus como arma biológica cinco anos antes da pandemia.,A journalist's report does not support the claim that China tested the coronavirus as a biological weapon five years before the pandemic.
misinformation,Over 90% approval rating ... within the Republican Party and 52% overall,2018-08-26T00:00:00Z,Donald Trump,cbsnews.com,en,No poll evidence for 52%,No poll evidence for 52%
factual,1962 yılında Tanzanya’da yaşanan gülme krizi salgını yüzünden 14 okul kapanmıştır.,2021-05-15T00:00:00Z,,dogrulukpayi.com,tr,Doğru,Right
misinformation,Fossils on Mount Everest are evidence of global flooding.,2021-05-08T00:00:00Z,A Facebook user,aap.com.au,en,False - Content that has no basis in fact.,False - Content that has no basis in fact.
misinformation,58% of NASA employees are Indian,2019-06-16T06:12:00Z,@kashthefuturist on Twitter,scroll.in,en,False,False
misinformation,UK residents will have to get microchipped starting from January 2021,2020-06-09T00:00:00Z,Social Media User,thejournal.ie,en,False,False
misinformation,"網傳「由於疫情的關係，行政院決議，每人補助疫情援助金，新台幣10,000元」的訊息。",,Facebook 用戶; LINE 用戶,mygopen.com,zh,不實,false
misinformation,경찰이 시민들에게 에스컬레이터에 탑승할 시 벽을 등지고 서도록 하는 캠페인을 진행 중이다.,2021-05-12T00:00:00Z,multiple sources,factcheckkorea.afp.com,ko,Missing context,Missing context
misinformation,"Le 19 mai, les toilettes situées à l'intérieur des restaurants, cafés et bars resteront fermées",,,liberation.fr,fr,Faux. Le ministère de l'économie a démenti cette rumeur.,False. The Ministry of the Economy denied this rumor.
misinformation,A brain scan shows effects of PTSD,2019-04-12T00:00:00Z,Ariana Grande,theconversation.com,en,Mainly false,Mainly false
misinformation,"“Impossible not to share. That's the way, the end of the road to this insufferable inexplicable maze. ARE WE ALLOWING IT?”",2021-05-13T00:00:00Z,Anti-vaxxers’ Social Media Networks,polygraph.info,en,False,False
misinformation,Israel send fighter jet with 'Soumya' written on it as a tribute to Kerala woman who died in Hamas airstrike.,2021-05-18T10:37:15Z,"Facebook,WhatsApp,Twitter",thequint.com,en,False,False
misinformation,Prof. Dr. Mehmet Ceyhan’ın var olmayan bir salgın yüzünden binlerce hayvanın ölümüne neden olduğu iddiası,2021-05-06T00:00:00Z,Sosyal Medya,teyit.org,tr,Yanlış,False
misinformation,“Biden is computer generated.”,2021-05-19T00:00:00Z,Facebook posts,politifact.com,en,Pants on Fire,Pants on Fire
misinformation,Al Aqsa mosque has been taken over by Israel army,2021-05-18T14:38:02Z,Social media,boomlive.in,en,False,False
misinformation,"Szczepionki przeciwko COVID-19 są eksperymentalne, a ich producenci pominęli testy na zwierzętach, ponieważ były dla nich śmiertelne.",2021-05-16T00:00:00Z,Veo tv,demagog.org.pl,pl,"Fałsz. Wszystkie szczepionki zostały poddane standardowym testom bezpieczeństwa przed dopuszczeniem do obrotu, a badania te nie pominęły prób na zwierzętach, które przebiegły pomyślnie.","Falsehood. All vaccines underwent standard safety testing prior to approval, and these studies did not omit successful animal trials."
misinformation,Ο Ερυθρός Σταυρός δεν δέχεται αίμα από εμβολιασμένους.,2021-05-12T00:00:00Z,Παναγιώτης Δαβίλλας,ellinikahoaxes.gr,el,Ψευδής Ισχυρισμός,False Claim
misinformation,Nur geimpfte Menschen haben die Spanische Grippe 1918 überlebt.,2021-04-30T00:00:00Z,Verschiedene Quellen,faktencheck.afp.com,de,Es gab während der Pandemie noch keine Massenimpfung gegen die Spanische Grippe.,There was no mass vaccination against Spanish flu during the pandemic.
misinformation,"“We found no COVID-19 in any of the 1,500 [COVID-19-positive] samples” but influenza A and B; “what we're dealing with is just another flu strain like every year. COVID 19 does not exist and is fictitious”",2021-06-05T00:00:00Z,Instagram users,healthfeedback.org,en,Inaccurate,Inaccurate
misinformation,"Indians are throwing away religious statues in the river for not protecting them against COVID-19, according to a set of photos that circulated on social media.",,,rappler.com,en,False,False
misinformation,Em publicação no Facebook exibe-se a tabela de voos do Aeroporto de F......,2021-05-20T08:00:25Z,,poligrafo.sapo.pt,pt,Impreciso,Imprecise
other,Se trouver derrière un coureur ou un cycliste augmente le risque de contracter la COVID-19,2020-04-08T00:00:00Z,Jurgen Thoelen,ici.radio-canada.ca,fr,Attention,Attention
misinformation,Une vidéo YouTube prétend montrer des exécutions massives d’animaux qui seraient liées à l’épidémie de coronavirus,2020-02-08T00:00:00Z,Amar Allali,ici.radio-canada.ca,fr,Faux,False
misinformation,Foto prajurit salat di atas kapal selam KRI Nanggala-402 sebelum tenggelam,2021-04-24T00:00:00Z,Berbagai sumber,periksafakta.afp.com,id,Salah,Wrong
factual,A acusação surgiu na página de Facebook da candidatura da Coligação D......,2021-05-21T07:50:29Z,,poligrafo.sapo.pt,pt,Verdadeiro,Real
misinformation,Video of an old man stopping UP CM Yogi Adityanath from entering his lane in Meerut district's Bijauli village,2016-06-20T00:00:00Z,"Omveer Yadav, Nagma Morarji",altnews.in,en,False,False
misinformation,Pessoas roubam porcos na Argentina para matar a fome,2021-05-18T18:36:29Z,Boatos de redes sociais,politica.estadao.com.br,pt,Predominantemente falso,Predominantly false
misinformation,Neues Infektionsschutzgesetz bringt Impflicht mit sich,,Andrea Haberl,br.de,de,Falsch. Im neuen IfSG steht nichts zu verpflichtenden Impfungen,Not correct. In the new IfSG there is no mandatory vaccination
misinformation,Todas as urnas rackeadas (sic) em menos de duas horas,2021-05-18T18:29:47Z,,piaui.folha.uol.com.br,pt,Falso,Fake
misinformation,Photos show a photojournalist crying while capturing pictures of the Aqsa Mosque in Jerusalem.,2021-05-10T00:00:00Z,Viral image,politifact.com,en,False,False
misinformation,"O extenso ocumento de protocolo clínico da vacina Pfizer (leia na íntegra aqui) em sua página 132, apêndice 4, informa que homens e mulheres vacinadas não devem ter relações heterossecuais desprotegidas até 28 dias devido ao “risco de segurança reprodutiva”, em outra palavras, você não pode fazer sexo com risco de ter um filho, pois crianças nascerão defeituosas devido a manipulação genética causada pela vacina da que usa o RNA mensageiro, caso da Pfizer",2021-05-17T13:19:04Z,,piaui.folha.uol.com.br,pt,Falso,Fake
misinformation,“[It] is a complete distortion of facts to accuse China of suppressing foreign media and denying US journalists visa.”,2021-05-14T00:00:00Z,Hua Chunying,polygraph.info,en,MIsleading,MIsleading
misinformation,Emmanuel Macron et Edouard Philippe étaient-ils « écroulés de rire devant Notre-Dame » ?,2019-04-17T00:00:00Z,Plusieurs internautes sur Facebook et Twitter,lemonde.fr,fr,Faux,False
misinformation,"Dr Roberto Kalil: A UTI do Hospital Sirio Libanês está com inúmeros casos de pessoas vacinadas com as 2 doses e apresentando quadro clínico grave internadas em UTI’s, ou seja, essas vacinas ñ oferecem a imunidade desejada",,Mensagem em redes sociais,boatos.org,pt,Falso,Fake
misinformation,Deze foto toont een coronademonstratie in Montreal in 2021,2021-05-03T00:00:00Z,Verschillende bronnen,factchecknederland.afp.com,nl,Onwaar,False
other,"""Mitterrand aurait déclaré, à propos du Rwanda, que «dans ces pays-là, un génocide, c’est pas trop important»""",,,liberation.fr,fr,"Mitterrand aurait tenu ces propos «à des proches» à l’été 1994, selon le journaliste du «Figaro» Patrick de Saint-Exupéry, qui en fit état dans un article de 1998.","Mitterrand allegedly made these remarks ""to relatives"" in the summer of 1994, according to ""Figaro"" journalist Patrick de Saint-Exupéry, who reported on them in a 1998 article."
misinformation,"Most Urgent,Very Serious, Important information*📣 Ministry of health’s emergency notification to the public that the Coronavirus influenza outbreak this time is very very serious & fatal. There's no cure once you are infected. Its spreading from China to various countries Prevention method is to keep your throat moist, do not let your throat dry up. Thus do not hold your thirst because once your membrane in your throat is dried, the virus will invade into your body within 10 mins. Drink 50-80cc warm water, 30-50cc for kids, according to age. Everytime u feel your throat is dry, do not wait, keep water in hand. Do not drink plenty at one time as it doesn’t help, instead continue to keep throat moist. Till end of March 2020, do not go to crowded places, wear mask as needed especially in train or public transportation Avoid fried or spicy food and load up vitamin C. The symptoms/ description are 1.repeated high fever 2.prolonged coughing after fever 3.Children are prone 4.Adults usually feel uneasy,*headache and mainly respiratory related 5: highly contagious🚨 Pls share if you care for human life!",,Viral social media post,namibiafactcheck.org.na,en,FALSE: Viral message about coronavirus is a global hoax,FALSE: Viral message about coronavirus is a global hoax
misinformation,Görselin Ay'ın 28 Gün Boyunca Aynı Yer ve Saatte Çekilen Fotoğraflarının Birleşimi Olduğu İddiası,2020-12-28T00:00:00Z,Evreni Merak Ediyoruz,malumatfurus.org,tr,YANLIS,False
